"","marca_temporal","entidad","cargo","nombre","oficina","asuntos_ran","asuntos_pa","asuntos_insus","asuntos_conavi","apertura_ran","apertura_pa","apertura_insus","apertura_conavi","com_ran","com_pa","com_insus","com_conavi","atencion_ran","atencion_pa","atencion_insus","atencion_conavi","pub_ran","pub_pa","pub_insus","pub_conavi","desem_ran","desem_pa","desem_insus","desemp_conavi","colab_ran","colab_pa","colab_insus","colab_conabi","vicios_ran","vicios_pa","vicios_insus","vicios_conavi","observaciones "
"1","19/10/2021 11:04","Campeche","Titular de la Oficina de Representación","BENITO ANTONIO MATEOS RODRIGUEZ ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Mesa Agraria (varios temas agrarios), Regularización predios Bancos del Bienestar, Tren Maya, Ordenamiento Territorial Comunitario ","Mesa Agraria (varios temas agrarios), Regularización predios Bancos del Bienestar, Tren Maya, Ordenamiento Territorial Comunitario ","Mesa Agraria (varios temas agrarios), Regularización predios Bancos del Bienestar, Tren Maya, Ordenamiento Territorial Comunitario ","",0.5,0.75,0.75,NA,0.75,0.75,0.75,NA,0.5,0.75,0.75,NA,0.5,0.75,0.75,NA,0.5,0.5,0.75,NA,1,0.75,0.75,NA,"Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites, Cobro para la atención de trámites, Cobro para gestionar servicios, Observación de influyentismo o usuarios preferentes","Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites","","","Con la titular del RAN se tiene buena relación y coordinación, aunque su personal tanto de base como de confianza se sabe que realizan (dichos por l@s mism@s usari@s) cobros por los servicios que prestan, mucho tiene que ver que su personal viene de administraciones anteriores y arrastrando los mismos vicios. La PA al ser prácticamente el mismo personal de hace muchos años tienen conocimiento de los temas, pero también los mismos vicios."
"2","19/10/2021 07:06","Sonora","Titular de la Oficina de Representación","Irán Roberto Robles Esquivel","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Plan de Justicia para el Pueblo Yaqui, Mesa Agraria y otros","Plan de Justicia para el Pueblo Yaqui, Mesa Agraria y otros","Mesa Agraria y Otros","",0.75,0.75,1,NA,1,1,1,NA,0.75,1,1,NA,0.75,0.75,1,NA,NA,0.75,0.75,NA,0.75,1,1,NA,"Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites","","","","Atención deficiente y rezago considerable de trabajo en RAN"
"3","18/10/2021 19:26","Estado de México","Encargada de la Oficina de Representación de la SEDATU en el Estado de México ","Rosa Delfina Salgado Colín ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Temas con agrarios ","Temas agrarios ","Regularizaciones ","Sólo canalizamos solicitudes a oficinas centrales ",0.75,0.75,0.75,NA,0.25,0.25,0.5,NA,0.75,0.75,1,NA,0.75,0.75,0.75,NA,NA,NA,0.5,NA,1,1,1,NA,"Uso de intermediarios para la atención de trámites","Uso de intermediarios para la atención de trámites","Uso de intermediarios para la atención de trámites","Observación de influyentismo o usuarios preferentes","En el RAN la población tiene que formarse un día antes para alcanzar cita, están parados en el sol y los atienden después de las 11:00 am y de mal humor. En la PA es a puerta Cerrada, su atención es limitada o casi nula y sin profesionalismo. INSUS Atienden en sus módulos de 9:00 a 2:00pm, no hay agenda de citas, solo presencial. "
"4","18/10/2021 17:30","Tabasco","Titular de la Oficina de Representación","María Cecilia Ramírez Cano","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Solicitudes de información, apoyo a sujetos agrarios, Banco de Bienestar, Mesa Agraria, COSOMER.","Solicitudes de información, apoyo a sujetos agrarios, Banco de Bienestar, Mesa Agraria, COSOMER.","Solicitudes de información, Banco de Bienestar, Mesa Agraria.","",1,1,1,NA,1,0.75,1,NA,1,1,1,NA,0.75,1,1,NA,1,1,1,NA,0.75,0.75,0.75,NA,"","","","",""
"5","18/10/2021 15:25","Sinaloa","Titular de la Oficina de Representación","Jesús del Carmen Quiroz Ramírez","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","mesas agrarias, solicitud de peritos en algunos juicios, temas sobre asuntos de ejidatarios sobre conflictos de mediciones entre otors","mesas agrarias, temas del programa rraja, solución de conflictos con ejidatarios, concoe","mesas agrarias y asuntos sobre regularización","no aplica",1,1,1,NA,1,1,1,NA,0.75,0.75,NA,NA,1,1,1,NA,0.75,0.75,0.75,NA,1,1,1,NA,"Uso de intermediarios para la atención de trámites, Cobro para la atención de trámites","Uso de intermediarios para la agenda de citas","","","se advierte que en el RAN, atienden por citas, y quienes van sin cita se les atiende pero si está muy saturado y tarda mucho, se sabe que los trámites tardan mucho, y según hay personas que se ofrecen a realizar el trámite por algún costo no supieron decir si son o no propios del RAN  "
"6","18/10/2021 13:30","Colima","Titular de la Oficina de Representación","Aida Pamela Caldera Caldera ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","BANCOS DE BIENESTAR, RRAJA-FANAR Y JUICIOS AGRARIOS ","BANCOS DE BIENESTAR, RRAJA-FANR Y JUICIOS AGRARIOS","BANCOS DE BIENESTAR, RRAJA-FANAR","NINGUNO",0.75,0.75,1,NA,0.75,0.75,0.75,NA,0.75,0.75,0.75,NA,0.5,0.5,0.75,NA,0.75,0.5,0.75,NA,1,0.75,1,NA,"Observación de influyentismo o usuarios preferentes","Observación de influyentismo o usuarios preferentes","Observación de influyentismo o usuarios preferentes","",""
"7","18/10/2021 12:17","Chihuahua","Departamento de Organización","Roberto F. Luna Valencia","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","diversos asuntos jurídicos, Revisión e integración de expedientes para temas de expropiación, investigación sobre antecedentes registrales para le integración de expediente de terrenos nacionales, solicitudes de localización de predios, solicitud de carpetas básicas, temas bancos del bienestar  y temas de terrenos de IMSS-BIENESTAR","Coordinación con la convocatoria y acompañamiento de asambleas ejidales y comunales, información sobre constancias de regimen ejidal o comunal, acompañamiento y apoyo  en nuestras actividades de acuerdo a su atribuciones ","acompañamiento y apoyo  en nuestras actividades de acuerdo a su atribuciones ","",1,1,1,NA,0.75,0.75,0.75,NA,1,1,1,NA,0.5,0.5,1,NA,0.75,0.75,0.75,NA,0.75,0.75,0.75,NA,"","","","","RAN solo se realizan   3 tramites por cita, hay personas que vienen de lejos y tienen que hacer varias citas para  poder completar sus tramites, es difícil la comunicación con la oficina ya que solo cuentan con una linea de celular para la atención a usuarios (no cuenta con telefonía fija) , tienen problemas con el sistema de citas ya que gestores externos acaparan los lugares, la información para los tramites es confusa e incompleta para los usuarios,  todos comentarios de usuarios de la oficina de RAN"
"8","18/10/2021 12:08","Chiapas","Subdelegada/o de Desarrollo Urbano","Jose Camilo Gonzalez Polito","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable, Oficina estatal de la Comisión Nacional de Vivienda (si aplica)","Bancos del Bienestar, apoyos técnicos, mesas agrarias y asuntos agrarios en general","Bancos del Bienestar, mesas agrarias, asuntos agrarios en general","Regulación de predios y mesas agrarias","Programa de Vivienda emergente",1,1,1,NA,1,1,0.5,0.25,1,1,1,0.5,1,1,1,0.25,1,1,0.75,NA,1,1,0.5,0.25,"","","","","Con CONAVI sólo tenemos información con los del PVE porque compartimos oficinas."
"9","18/10/2021 12:01","Zacatecas","Titular de la Oficina de Representación","Maria de la Luz Dorado Avila","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Solicitudes de trabajos tecnicos, seguimiento de conflictos, mesa agraria,inscripciones de actas de eleccion de los consejos de administracion,participa en la entrega de documentos a sujetos agrarios dentro del programa RAJA para dar certeza juridica a los sujetos agrarios ","seguimientop de asuntos que se llevan acabo en las mesas agrarias, bancos del bienestar, colaboracion con la asesoria a las colonias agricolas y ganaderas para sus reglamentos y actas de eleccion, colaboracion en la busqueda de predios y regularizacion de los mismos para la Guardia Nacional","participacion en asuntos de Mesa Agraria; Regularizacion de solares adquiridos mediante expropiación ","no aplica",0.75,1,0.75,NA,0.75,0.75,0.5,NA,0.75,1,0.75,NA,0.5,1,0.75,NA,0.5,0.75,0.5,NA,0.5,0.75,0.75,NA,"Uso de intermediarios para la agenda de citas","","","","el RAN  tiene retraso en los tramites que realiza con tiempos considerables en la entrega de las solicitudes que reciben "
"10","18/10/2021 11:27","Tlaxcala","Titular de la Oficina de Representación","Edgar Raúl Mercado Astorga","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Lo referente a los temas que tenemos en mesa y acompañamiento en entrega de títulos agrarios y depósitos de lista de sucesión ","Referente a bancos de bienestar y lo referente a la mesa agraria","Los referentes a los temas de la mesa agraria. ","De momento no se tienen asuntos de manera conjunta",0.75,0.75,1,NA,1,1,1,NA,1,1,1,NA,0.75,0.75,1,NA,1,1,1,NA,1,1,1,NA,"","","","","No tengo conocimiento de algún tipo de vicios."
"11","18/10/2021 10:41","Baja California","Titular de la Oficina de Representación","Enrique Manuel Cunningham Santana","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Mesa Agrarian, Atencion a Pueblos Indigenas, Seguimiento al programa RAAJA","Regularizacion de Colonias Nacionales, Juicios Agrariso, Mesas Agrarias Atencion RAAJA ","Mesa Agraria Regularizacion de Poligonos de Vivienda PMU","",1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,"","","","",""
"12","18/10/2021 10:41","Aguascalientes","Titular de la Oficina de Representación","Marisa Aidee Luján Gómez ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","TTI, Mesa Agraria, Bancos del bienestar, Regularización, Ubicación de predios, excedencias. ","Mesa agraria, bancos del bienestar, conflictos sociales, universidad BJG, regularización de reservas de crecimiento ","Regularización de asentamientos humanos, gestión de ordenamiento territorial ","",0.75,1,1,NA,0.5,1,0.75,NA,0.75,1,0.5,NA,0.5,1,0.75,NA,NA,0.75,0.5,NA,0.5,1,1,NA,"Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites","","Cobro para la atención de trámites, Cobro para gestionar servicios","","RAN: Atiende el personal de vigilancia (que no es servidor público), no permiten acceso para consultas de información o asesoría. No contestan el teléfono de citas y no se agendan citas personalmente, les indican que forzosamente debe ser por internet. Exigen documentos extra en los trámites. Tardan mucho más tiempo del indicado para los trámites. 
INSUS: Se hacen cobros en efectivo en la representación por trámites. 
"
"13","18/10/2021 09:33","Quintana Roo","Titular de la Oficina de Representación","Ernesto Pavon Gutierrez","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Antecedentes registrales, RAJA, Mesas Agrarias, Aeropuerto Tulum, Bancos Bienestar, Tren Maya, Ordenamiento Territorial, Expropiaciones","Comité Operativo Estatal, Mesas Agrarias, Aeropuerto Tulum, Bancos Bienestar, Tren Maya, Ordenamiento Territorial, PMU.","Expropiaciones, Mesas Agrarias, Aeropuerto Tulum, Bancos Bienestar, Tren Maya","No Aplica",1,1,1,NA,0.75,1,0.5,NA,1,1,1,NA,1,1,1,NA,0.75,1,0.75,NA,1,1,1,NA,"Cobro para gestionar servicios","","Cobro para la atención de trámites, Cobro para gestionar servicios","",""
"14","17/10/2021 21:47","Veracruz","Subdelegada/o de Desarrollo Urbano","Rafael Pérez Cárdenas","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Mesa agraria","Mesa agraria","Mesa agraria","",0.75,0.75,0.75,0.75,1,1,1,NA,1,1,1,NA,0.75,0.75,0.75,NA,0.75,0.75,0.75,NA,1,1,1,NA,"","","","","Hace falta mayor información sobre los horarios de atención al público"
"15","17/10/2021 20:00","Michoacán","Titular de la Oficina de Representación","Miguel Ángel Sandoval Rodríguez ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Todos los trámites de certeza legal, inscripciones de diversos temas: Bancos del Bienestar, Bases de la Guardia Nacional, Escuelas y centros de salud, titulos parcelarios se diveros sujetos agrarios, padrones de diversos ejidos, inscripciones de nuevas mesas agrarias, documentos de temas de Cosomer, entre otros. ","Seguimiento de asambleas, instalación de reuniones en primera y segundas convocatorias, atención a núcleos agrarios que solicitan asambleas, atención a sujetos agrarios que estan sin atención. ","Seguimiento, atención de todos los suelos urbanos que se cuentan en el estado, mismo que requieren la regularización de sus tierras, certeza de Bases de la Guardia Nacional, Bancos del Bienestar, Escuelas y Centros de Salud. Colonias que estan asrntadas en Michoacán sin la certeza de la tierra.","Seguimiento a las acciones de vivienda realizadas por Conavi",0.5,0.5,0.75,NA,0.5,0.5,0.5,NA,0.75,0.75,0.75,NA,0.5,0.5,0.75,NA,NA,NA,0.5,NA,0.5,0.5,0.75,NA,"Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites, Cobro para la atención de trámites, Cobro para gestionar servicios, Observación de influyentismo o usuarios preferentes","Uso de intermediarios para la agenda de citas, Cobro para la atención de trámites, Observación de influyentismo o usuarios preferentes","Uso de intermediarios para la atención de trámites","","El servicio del RAN PASARON UN AÑO SIN ATENDER AL PÚBLICO, TIENEN A LA GENTE EN FILAS DESDE LA MAÑANA HASTA LA SIGUIENTE MAÑANA EN EL SOL, LLUVIA, INTEMPERIE ES DE LAS 200 OFICINAS DE MICHOACÁN QUE TIENEN A LA GENTE EN ESA CONDICIÓN HAY UN RECHAZO ENORME EN EL ESTADO POR LA ACTUACIÓN DE LOS FUNCIONARIOS Y FORMAS DE OPERAR DE LA DEPENDENCIA LONQUE PROPICIANAPARTADO DE LUGARAES, PREFER3NCIAS ,COBROS HAY PERSONAS QUE VIAJAN HASTA 10 HORAS Y NO LAS ATIENDEN, O ENTRAS OCASIONES POR FUERA LOS ATIENDEN Y ENTREGAN DOCUMENTOS PERO LES COBRAN FUERA DE LOS COSTOS DE DERECHOS. URGENTE HACER UNA ESTRATEGIA PARA ATENDER A TODOS Y ROMPER EL VICIO DE PRACTICAS EN EL CASO DE ELLOS LES PRESTAMOS CASI 50 PERSONAS PARA ATENDER PERO LOS RETIRARON O INSULTABAN PARA NO TENER OJOS QUE OBSERVABAN LAS COSAS. EN EL CASO DE LA PROCURADURÍA AGRARIA SE TIENEN QUEJA DE CASI TODOS JEFES DE SUPERVISIONES Y VISITADORES QUE LES COBRAN, NO LES ATIENDEN O TRA4N INTERESES EN CADA NÚCLEO O SECTOR. ES URGENTE HACER MOVIMIENTOS PATA SACUDIR LOS VIEJOS VICIOS Y PRACTICAS DE CORRUPCIÓN QUE IMPERAN ES LA DEPENDENCIA DONDE TENEMOS SUJETOS QUE HAN DENUNCIADO POR LA MALA ATENCIÓN. EN INSUS S3 ATIENDE PERO A ELLOS LES FALTA DAR MÁS ACOMPANAMIENTO A LAS ACCIONES DEL SECTOR SE QUIEREN IR SIMPRE POR SI SOLOS CON MUNICIPUOS COSA QUE SR HAVE MUY TURBIA AL TENER HASTA ENTREGAS DE EACRITURAS SIN QUE EL SECTOR ESTEMOS AL TANTO. "
"16","17/10/2021 17:19","Coahuila","Titular de la Oficina de Representación","Liliana Paola Aguilar Tijerina","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Excelencias. Expropiaciones. Acuerdos y seguimiento a temas de Mesa Agraria.","Asambleas ejidales. Acuerdos y seguimiento a temas de Mesa Agraria","Acuerdos y seguimiento a temas de Mesa Agraria. ","",0.5,1,1,NA,0.75,1,1,NA,0.75,1,1,NA,0.5,1,1,NA,0.75,1,1,NA,0.5,1,1,NA,"","","","",""
"17","16/10/2021 11:05","Morelos","Subdelegada/o Jurídico","Brenda García Pineda","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Mesa Agraria, TTI expropiación, RAJJA FANAR, Bancos de Bienestar","Mesa Agraria, RAJJA FANAR, Bancos de Bienestar, colonias Agrícolas ","PMU, Expropiación ","Ninguno",0.75,0.5,1,NA,1,0.75,1,NA,0.75,0.75,1,NA,0.5,0.5,1,NA,0.75,0.75,0.75,NA,1,0.5,1,NA,"Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites, Cobro para la atención de trámites, Cobro para gestionar servicios","Uso de intermediarios para la atención de trámites, Cobro para la atención de trámites, Cobro para gestionar servicios","","",""
"18","15/10/2021 15:46","Oaxaca","Titular de la Oficina de Representación","Abelardo Mendoza Sánchez ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Trabajos Técnicos Informativos de expropiaciones ","Seguimiento de la regularización de predios del banco del bienestar y seguimiento a los conflictos agrarios ","El seguimiento de la regularización de predios del banco del bienestar y mesa agraria ","Ninguna ",0.75,1,1,NA,0.25,0.75,0.75,NA,0.5,0.75,0.75,NA,0.5,1,1,NA,0.5,0.75,0.75,NA,0.75,1,1,NA,"Cobro para la atención de trámites","","","",""
